"","V1","V2","V3","V4"
"Berardius_arnuxii",-0.14379900097512,0.0292548306555271,0.0135285525079689,0.010252010796316
"Cephalorhynchus_commersonii",0.0325977104432624,0.0192350304425417,0.000924405932135689,0.00565348098335917
"Cephalorhynchus_heavisidii",0.00193383724755415,0.0179157641746299,0.0172203190548031,-0.00252929156672337
"Delphinapterus_leucas",0.0188306219487903,0.0131820652749832,-0.0890736011254691,0.0592102979007885
"Delphinus_delphis",0.0133712973770412,-0.0034597496435997,-0.032166544014937,0.0288218949605101
"Feresa_attenuata",-0.0578531740683789,-0.00610178695334982,-0.0169854413842986,0.0153500936269073
"Globicephala_melas",0.039972224425542,-0.0979281784459743,0.180679315456356,0.173822525649898
"Grampus_griseus",0.0265069817947596,-0.0479320823508649,0.0105610891920085,-0.0363541001840392
"Hyperoodon_ampullatus",-0.0894838734959341,-0.0161613948434042,0.0193909936853251,-0.059401316164665
"Inia_geoffrensis",0.00206149230219798,-0.018443297845433,-0.0589939714463929,0.0165803886761448
"Kogia_breviceps",0.0676321044703085,0.0637691846476079,0.0414165014257857,-0.0150347546372788
"Kogia_sima",0.0566931878979365,0.0114491909517394,0.0648405862089532,-0.0712074389599511
"Lagenodelphis_hosei",0.0448363581581827,0.0172156799694171,-0.0180881404983507,0.0209093856565435
"Lagenorhynchus_acutus",0.0456200855501682,-0.0488217803671311,-0.00327693308986549,-0.0221908686979667
"Lagenorhynchus_albirostris",0.0189081706570689,-0.0199104752097529,0.0634264541195842,-0.0632266423298929
"Lagenorhynchus_australis",0.0179670553647415,-0.0135401733108692,0.0127882372527873,-0.0148362455244138
"Lagenorhynchus_cruciger",0.0181556299215899,0.0155781181846202,0.0197852872778409,0.00557690713229181
"Lagenorhynchus_obliquidens",0.0478414642351956,-0.0355113505588298,-0.0162718238854608,-0.104747101000206
"Lagenorhynchus_obscurus",0.00284456690464128,-0.0415178128018716,0.0100629691090068,-0.00809111830018098
"Lipotes_vexillifer",0.00597397254363942,-0.0290535548554068,-0.00513586765648178,-0.0323830348525589
"Mesoplodon_bidens",-0.112508759520583,-0.0351394223694291,0.0244317462888721,-0.00778823030617578
"Mesoplodon_grayi",-0.132035906534967,-0.0218279963628531,0.0612516429431177,-0.0350673822293698
"Mesoplodon_hectori",-0.133306461865092,0.0165646758434404,-0.0106387601844697,-0.0181451557588365
"Mesoplodon_mirus",-0.0667580922799793,0.126531385654399,-0.0170209428321209,-0.00634721506678283
"Monodon_monoceros",-0.00482683711142264,-0.045189796645681,0.0205342512806432,-0.0137968437501426
"Neophocaena_phocaenoides",0.06176136042832,0.0207621680949091,-0.0268863956525754,0.0145335460824309
"Orcaella_brevirostris",0.0369805915279339,-0.0514137602688838,-0.00758645060439886,0.0156049031511127
"Orcinus_orca",-0.0056852949816914,-0.0154934421938338,0.0158875728945093,-0.0315507269517889
"Peponocephala_electra",0.0443786012691318,0.0249478283144536,-0.0352324883792549,-0.0259714324791653
"Phocoena_dioptrica",0.0188648916056278,-0.00952521590816016,0.0406058583997159,-0.0329986335058417
"Phocoena_phocoena",0.0436883825874947,0.000211065323826114,0.0542243942555153,-0.0149757469161068
"Phocoena_spinipinnis",0.0853875913281377,0.171172158052071,0.0669075950659309,-0.0259737242109341
"Phocoenoides_dalli",0.0618530354753332,0.0909855784371429,0.0451920870740811,0.0112586668152557
"Physeter_macrocephalus",-0.107032786797061,-0.0389714917983933,-0.00284979206152067,-0.023985694233469
"Platanista_gangetica",-0.0431826757373885,-0.0389783507706457,-0.0621252039909499,0.0483217408788355
"Pontoporia_blainvillei",0.0335148290894825,-0.0534970980658985,-0.0415640032116079,-0.00803996634679937
"Pseudorca_crassidens",-0.0261013239827738,-0.00355531236208768,-0.0811650403177255,0.0351663278541064
"Sotalia_fluviatilis",0.0529083615489449,-0.0327656710226602,-0.0114374519997518,-0.00271720260679806
"Sotalia_guianensis",0.0156967048700288,-0.0282113218617818,-0.03083027607751,0.015621307053431
"Sousa_chinensis",0.0415670257237432,0.0368008881933567,-0.0715523337780559,0.0146845679032202
"Stenella_attenuata",0.0499374987965332,-0.0114179423767873,-0.0296193665719717,-0.00358500986420751
"Stenella_coeruleoalba",0.0400598728836452,0.00824670222590159,-0.000973447766755716,0.0245500099271587
"Stenella_longirostris",0.0618980440117071,-0.018610799265166,-0.0204437485656383,0.017388180865695
"Steno_bredanensis",0.0126352534271269,0.0364715060117073,-0.0368968911130029,0.0275961933593116
"Tasmacetus_shepherdi",-0.161606499603129,-0.00790742650222168,0.0129239650622262,0.00850379669928375
"Tursiops_aduncus",0.054378697230549,-0.0378930499371935,-0.0446926042925742,0.0288790496313472
"Tursiops_truncatus",3.12889089524751e-05,-0.0338536165277362,-0.0327099075215525,0.00228089165418877
"Ziphius_cavirostris",-0.0931081050017929,0.142339530973626,0.00763360353552634,0.0803787091861583
