"","V1","V2"
"Berardius_arnuxii",-0.14379900097512,0.0292548306555271
"Cephalorhynchus_commersonii",0.0325977104432624,0.0192350304425417
"Cephalorhynchus_heavisidii",0.00193383724755415,0.0179157641746299
"Delphinapterus_leucas",0.0188306219487903,0.0131820652749832
"Delphinus_delphis",0.0133712973770412,-0.0034597496435997
"Feresa_attenuata",-0.0578531740683789,-0.00610178695334982
"Globicephala_melas",0.039972224425542,-0.0979281784459743
"Grampus_griseus",0.0265069817947596,-0.0479320823508649
"Hyperoodon_ampullatus",-0.0894838734959341,-0.0161613948434042
"Inia_geoffrensis",0.00206149230219798,-0.018443297845433
"Kogia_breviceps",0.0676321044703085,0.0637691846476079
"Kogia_sima",0.0566931878979365,0.0114491909517394
"Lagenodelphis_hosei",0.0448363581581827,0.0172156799694171
"Lagenorhynchus_acutus",0.0456200855501682,-0.0488217803671311
"Lagenorhynchus_albirostris",0.0189081706570689,-0.0199104752097529
"Lagenorhynchus_australis",0.0179670553647415,-0.0135401733108692
"Lagenorhynchus_cruciger",0.0181556299215899,0.0155781181846202
"Lagenorhynchus_obliquidens",0.0478414642351956,-0.0355113505588298
"Lagenorhynchus_obscurus",0.00284456690464128,-0.0415178128018716
"Lipotes_vexillifer",0.00597397254363942,-0.0290535548554068
"Mesoplodon_bidens",-0.112508759520583,-0.0351394223694291
"Mesoplodon_grayi",-0.132035906534967,-0.0218279963628531
"Mesoplodon_hectori",-0.133306461865092,0.0165646758434404
"Mesoplodon_mirus",-0.0667580922799793,0.126531385654399
"Monodon_monoceros",-0.00482683711142264,-0.045189796645681
"Neophocaena_phocaenoides",0.06176136042832,0.0207621680949091
"Orcaella_brevirostris",0.0369805915279339,-0.0514137602688838
"Orcinus_orca",-0.0056852949816914,-0.0154934421938338
"Peponocephala_electra",0.0443786012691318,0.0249478283144536
"Phocoena_dioptrica",0.0188648916056278,-0.00952521590816016
"Phocoena_phocoena",0.0436883825874947,0.000211065323826114
"Phocoena_spinipinnis",0.0853875913281377,0.171172158052071
"Phocoenoides_dalli",0.0618530354753332,0.0909855784371429
"Physeter_macrocephalus",-0.107032786797061,-0.0389714917983933
"Platanista_gangetica",-0.0431826757373885,-0.0389783507706457
"Pontoporia_blainvillei",0.0335148290894825,-0.0534970980658985
"Pseudorca_crassidens",-0.0261013239827738,-0.00355531236208768
"Sotalia_fluviatilis",0.0529083615489449,-0.0327656710226602
"Sotalia_guianensis",0.0156967048700288,-0.0282113218617818
"Sousa_chinensis",0.0415670257237432,0.0368008881933567
"Stenella_attenuata",0.0499374987965332,-0.0114179423767873
"Stenella_coeruleoalba",0.0400598728836452,0.00824670222590159
"Stenella_longirostris",0.0618980440117071,-0.018610799265166
"Steno_bredanensis",0.0126352534271269,0.0364715060117073
"Tasmacetus_shepherdi",-0.161606499603129,-0.00790742650222168
"Tursiops_aduncus",0.054378697230549,-0.0378930499371935
"Tursiops_truncatus",3.12889089524751e-05,-0.0338536165277362
"Ziphius_cavirostris",-0.0931081050017929,0.142339530973626
